mail.ru,mail.ru/,Почта Mail.Ru,7699076,77
hsdigital,www.hsdigital.ru/,Shkulev Media Holding,4344241,82
bazr.ru,bazr.ru/,BAZR.ru - Смотреть бесплатно русские сериалы,3672162,91
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,3382804,85
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),3251495,92
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,3163037,94
kp,kp.ru,Комсомольская правда-Digital,3093587,87
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,2918448,88
mic_izvestia,iz.ru,Известия,2723694,86
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,2701325,84
Lenta,lenta.ru,Lenta.Ru,2502950,86
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",2463800,87
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,2258610,90
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1947817,90
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",1695508,89
news.ru,news.ru/,NEWS.ru ─ Информационный портал,1628994,81
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1522831,80
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,1405037,80
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1373493,84
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Shkulev Media Holding,1338111,71
regnum,regnum.ru,ИА Регнум,1293850,93
1Mediainvest,1mediainvest.ru/,1MI - федеральный медиахолдинг,1245768,88
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,1234452,86
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,1158449,82
RGRU,www.rg.ru,Российская Газета: издание Правительства РФ,1127063,91
russian.rt.com,russian.rt.com/,RT на русском,1081523,89
progorod,progorod43.ru,Сеть порталов PRO Город,1010302,82
gdz-raketa.ru,gdz-raketa.ru/,ГДЗ,939275,92
Sportbox,www.sportbox.ru,Sportbox.ru,903807,85
russianfood.com,www.russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,880895,75
hibiny.com,www.hibiny.com/,Хибины.ru,872920,64
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,802100,89
TASS_total,tass.ru,ТАСС - Новости в России и мире,725378,83
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,706039,91
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,698423,77
mail-my,my.mail.ru/,Мой Мир Mail.Ru,681114,78
life.ru,life.ru/,LIFE.RU — последние новости России и мира,672203,79
Sport24,sport24.ru,Sport24,625743,70
7days.ru,7days.ru/,"7Дней.ру - Всё о звездах! Новости, интервью, фото и видео звезд",585116,74
irecommend.ru,irecommend.ru/,IRecommend - отзывы о товарах и услугах,579728,75
fontanka.ru,fontanka.ru/,Фонтанка.Ру - новости Петербурга,577933,86
kino-teatr.ru,www.kino-teatr.ru/,"Кино-Театр.РУ - интервью, статьи, премьеры, новости кино и театра",572458,70
ukraina.ru,ukraina.ru/,ukraina.ru,551992,92
1000.menu,1000.menu/,🍅 Кулинарные рецепты 🍰 1000.menu 🍔🥑,540941,73
hsdigital/wn/starhit,starhit.ru,Starhit.ru - Новости шоу-бизнеса,499692,73
zr.ru,zr.ru/,Журнал &quot;За рулем&quot;. Автомобили в России,492835,76
tverigrad.ru,tverigrad.ru/,Tverigrad.ru | Главный информационный портал Тверской области,471224,77
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",466003,89
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,461575,74
progorodsamara.ru,progorodsamara.ru/,ПроГород Самара - новости Cамары,459968,82
ntv.ru,www.ntv.ru/,"НТВ.ru - Новости, видео, прямой эфир телеканала НТВ",435168,84
rusprofile.ru,rusprofile.ru/,Rusprofile.ru - бесплатная проверка контрагента,429015,92
5-tv.ru,5-tv.ru/,Пятый канал,418528,91
novorosinform.org,www.novorosinform.org/,Информационное агентство «Новороссия»,416687,93
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",411565,72
vedomosti.ru,vedomosti.ru/,Ведомости - ежедневная деловая газета,401109,73
360tv,360tv.ru,Телеканал 360°,400859,94
hsdigital/rn/smi/66,e1.ru,Е1.RU - Екатеринбург онлайн. Shkulev Digital,387498,90
osnmedia.ru,www.osnmedia.ru/,Общественная Служба Новостей,384539,92
litres.ru,www.litres.ru/,"Огромный выбор электронных книг, мультимедиа книг и аудиокниг",357739,71
vz.ru,vz.ru/,ВЗГЛЯД.РУ,348653,84
hsdigital/rn/smi/54,news.ngs.ru/,NGS.RU - главные новости Новосибирска. Shkulev Digital,344831,89
4pda.ru,4pda.ru/,4PDA.ru,344467,76
tk_m24,www.m24.ru/,Сетевое издание M24.ru,343853,76
overclockers.ru,www.overclockers.ru/,"Overclockers.ru - Профессиональные новости, статьи и блоги",342717,67
inosmi.ru,inosmi.ru/,ИноСМИ,339248,88
m.my.mail.ru,m.my.mail.ru/,Мобильная версия Моего Мира Mail.Ru,338434,80
sovsport.ru,www.sovsport.ru/,Советский спорт,322092,79
hsdigital/wn/woman/forum,hsdigital/wn/woman/forum,Woman.ru - Форум,315899,75
abnews.ru,www.abnews.ru/,АБН24,315401,79
gazeta.ru/social,gazeta.ru/social/,Газета.Ru: Общество,309284,90
business-gazeta.ru,www.business-gazeta.ru/,БИЗНЕС ОНЛАЙН - Деловые новости Казани и Татарстана,306372,91
hsdigital/rn/smi/74,74.ru,74.ru - главные новости Челябинска. Shkulev Digital,297416,90
Trashbox,trashbox.ru,Trashbox.ru — Высокие технологии,293883,73
3dnews.ru,3dnews.ru/,"3DNews - все о компьютерах, комплектующих, гаджетах и софте",293631,67
3dnews.ru,3dnews.ru/,"3DNews - все о компьютерах, комплектующих, гаджетах и софте",293631,67
Levsha,levsha.digital,Медиахолдинг Levsha Digital,283680,96
gorodche.ru,www.gorodche.ru/,ГородЧЕ,279347,75
newizv.ru,newizv.ru/,Новые Известия - 1MI,279158,94
film.ru,film.ru/,ФИЛЬМ.РУ: национальный кинопортал,276565,67
PlayGround,www.PlayGround.ru,PlayGround.ru - Российский Игровой Сервер,272186,79
edimdoma.ru,edimdoma.ru/,«Едим Дома!» — кулинарная социальная сеть. Рецепты.,270766,66
progorod58.ru,progorod58.ru/,Pro Город Пенза,244666,97
krasotaimedicina.ru,www.krasotaimedicina.ru/,Красота и Медицина,243954,87
vokrug.tv,www.vokrug.tv/,"Вокруг ТВ - телегид, телепрограмма и энциклопедия телевидения",241875,75
ktv-ray.ru,ktv-ray.ru/,КТВ-ЛУЧ,241158,84
fishki,fishki.net/,Фишки Нет - первое развлекательное сообщество Рунета,232870,82
gastronom.ru,www.gastronom.ru/,Кулинарный портал &quot;ГАСТРОНОМ&quot;,232552,74
78.ru,78.ru/,Городской портал 78.ru,231689,90
Prufy,prufy.ru,Пруфы,225715,73
Superjob,www.superjob.ru/,"Работа, вакансии, подбор персонала, резюме, поиск работы - SuperJob",222175,92
krasnodarmedia,"Svetlanskaya, 83",KrasnodarMedia.su,220571,75
2gis/online/ru/moscow,2gis.ru,"Карта Москвы: улицы, дома и организации города — 2ГИС",218420,87
kp/kpall/kpmsk,msk.kp.ru,MSK.KP.RU: главные новости Москвы,211793,90
hsdigital/mn,hearst-shkulev-media.ru,Men's Network Shkulev Media Holding,209401,76
pnz.ru,pnz.ru/,Информационный портал PNZ.RU,204017,88
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,199631,91
smi.today/ru_smi,www.smi.today/ru_smi/,Новости России. Новостной агрегатор smi.today,197054,86
audit-it.ru,www.audit-it.ru/,"Бухгалтерский учет, налоги, аудит в РФ",195588,92
klerk.ru,www.klerk.ru/,Клерк.Ру  -  практическая помощь бухгалтеру,191565,91
sm.news,sm.news/,SM.NEWS. Медиахолдинг Levsha Digital,190841,98
kp/kpall/family,www.kp.ru/family,Семья &quot;КП&quot;,190036,82
forbes.ru,www.forbes.ru/,Forbes Россия,189164,74
hsdigital/rn/smi/76,76.ru,76.RU - главные новости Ярославля. Shkulev Digital,186819,75
ngnovoros.ru,ngnovoros.ru/,Наша Газета Новороссийск,184684,85
ilibrary.ru,ilibrary.ru/,ИНТЕРНЕТ-БИБЛИОТЕКА  iLibrary.ru,184627,81
yaplakal.com,yaplakal.com/,ЯПлакалъ - крупнейшее информационно-развлекательное сообщество рунета,184099,80
hsdigital/rn/smi/99,mosk.ru,msk1.ru - главные новости Москвы и России. Shkulev Digital,182071,91
hsdigital/wn/ellegirl,ellegirl.ru,theGirl: онлайн-журнал для девушек,178371,68
kp/kpall/putevoditel/serialy,www.kp.ru/putevoditel/serialy,Кино и Сериалы КП,177155,79
studopedia.ru,studopedia.ru/,Студопедия — Ваша школопедия,176406,88
kp/kpall/reg/kpspb,spb.kp.ru,&quot;Комсомольская правда&quot; Санкт-Петербург,174591,95
kp/kpall/expert,www.kp.ru/expert,«Выбор экспертов» КП,173458,86
medaboutme.ru,medaboutme.ru/,Medaboutme (медицина обо мне) - информационная медицинская система,172764,88
hsdigital/rn/smi/72,72.ru,72.RU - главные новости Тюмени. Shkulev Digital,171205,90
